RunTime,ExecutableName
2024-11-09 18:32:38,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-09 18:29:14,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:16:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:51,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:01,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:18:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:16:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:51,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:00,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:16:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:51,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:00,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:19:01,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:16:53,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:16:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:59,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:51,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2024-11-20 18:14:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2022-12-15 20:01:07,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\COLORCPL.EXE
2024-11-20 18:37:02,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE
2024-11-20 19:50:01,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-11-20 19:43:09,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-11-20 19:39:30,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-11-20 19:29:17,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-11-20 19:06:32,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-11-20 18:57:35,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-11-20 18:51:12,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-11-20 18:25:58,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CONHOST.EXE
2024-11-08 06:50:35,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CREDENTIALUIBROKER.EXE
2024-10-15 16:44:02,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CREDENTIALUIBROKER.EXE
2024-10-13 18:39:03,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CREDENTIALUIBROKER.EXE
2024-10-08 18:59:01,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CREDENTIALUIBROKER.EXE
2024-10-07 18:43:17,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CREDENTIALUIBROKER.EXE
2024-10-05 07:21:03,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CREDENTIALUIBROKER.EXE
2024-10-01 18:27:30,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CREDENTIALUIBROKER.EXE
2024-08-01 20:58:19,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\CREDENTIALUIBROKER.EXE
2024-11-20 18:27:04,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CSC.EXE
2024-11-20 18:18:20,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CSC.EXE
2024-11-20 18:27:04,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CVTRES.EXE
2024-11-20 18:18:21,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CVTRES.EXE
2024-11-19 19:45:59,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\DESKTOP\DB.BROWSER.FOR.SQLITE-V3.13.1-WIN64\DB BROWSER FOR SQLITE.EXE
2024-11-06 17:55:16,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\DESKTOP\DB.BROWSER.FOR.SQLITE-V3.13.1-WIN64\DB BROWSER FOR SQLITE.EXE
2024-11-05 17:54:18,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\DESKTOP\DB.BROWSER.FOR.SQLITE-V3.13.1-WIN64\DB BROWSER FOR SQLITE.EXE
2024-11-04 18:35:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\DESKTOP\DB.BROWSER.FOR.SQLITE-V3.13.1-WIN64\DB BROWSER FOR SQLITE.EXE
2024-11-04 18:26:55,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\DESKTOP\DB.BROWSER.FOR.SQLITE-V3.13.1-WIN64\DB BROWSER FOR SQLITE.EXE
2024-11-03 18:57:51,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\DESKTOP\DB.BROWSER.FOR.SQLITE-V3.13.1-WIN64\DB BROWSER FOR SQLITE.EXE
2024-11-02 19:56:02,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\DESKTOP\DB.BROWSER.FOR.SQLITE-V3.13.1-WIN64\DB BROWSER FOR SQLITE.EXE
2024-11-02 19:51:03,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\DESKTOP\DB.BROWSER.FOR.SQLITE-V3.13.1-WIN64\DB BROWSER FOR SQLITE.EXE
2024-11-20 18:00:22,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DRIVERSTORE\FILEREPOSITORY\NVHM.INF_AMD64_AE10454E1CE27BD8\DBINSTALLER.EXE
2024-11-20 18:14:38,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-11-20 18:16:50,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-11-20 18:14:46,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-11-20 18:09:47,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-01-09 19:17:32,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-11-20 17:59:51,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-07-24 14:59:26,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-07-24 14:59:14,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-04-15 08:34:24,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-03-28 21:11:42,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\DLLHOST.EXE
2024-11-20 20:10:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSWOW64\DLLHOST.EXE
2024-11-20 20:05:59,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSWOW64\DLLHOST.EXE
2024-11-20 19:56:33,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSWOW64\DLLHOST.EXE
2024-11-20 19:53:21,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSWOW64\DLLHOST.EXE
2024-11-20 18:51:12,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSWOW64\DLLHOST.EXE
2024-11-20 18:50:45,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSWOW64\DLLHOST.EXE
2024-11-20 18:50:38,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSWOW64\DLLHOST.EXE
2024-11-20 18:27:17,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSWOW64\DLLHOST.EXE
